STATISTIC,Statistic,TLIST(A1),Year,C02935V03550,Airports in Ireland,UNIT,VALUE
TAA05,Passengers,2014,2014,EIDL,Donegal,Number,35415
TAA05,Passengers,2014,2014,EIIM,Inishmore,Number,11491
TAA05,Passengers,2014,2014,EIWF,Waterford,Number,33189
TAA05,Passengers,2014,2014,EICA,Connemara,Number,19236
TAA05,Passengers,2015,2015,EICK,Cork,Number,2065678
TAA05,Passengers,2015,2015,EIDW,Dublin,Number,24962518
TAA05,Passengers,2015,2015,EIKY,Kerry,Number,303039
TAA05,Passengers,2015,2015,EIKN,Knock,Number,684671
TAA05,Passengers,2015,2015,EINN,Shannon,Number,1642888
TAA05,Passengers,2015,2015,EIDL,Donegal,Number,36552
TAA05,Passengers,2015,2015,EIIM,Inishmore,Number,12071
TAA05,Passengers,2015,2015,EIWF,Waterford,Number,34249
TAA05,Passengers,2015,2015,EICA,Connemara,Number,19753
TAA05,Passengers,2016,2016,EICK,Cork,Number,2226233
TAA05,Passengers,2016,2016,EIDW,Dublin,Number,27778888
TAA05,Passengers,2016,2016,EIKY,Kerry,Number,325670
TAA05,Passengers,2016,2016,EIKN,Knock,Number,735869
TAA05,Passengers,2016,2016,EINN,Shannon,Number,1674567
TAA05,Passengers,2016,2016,EIDL,Donegal,Number,44156
TAA05,Passengers,2016,2016,EIIM,Inishmore,Number,12667
TAA05,Passengers,2016,2016,EIWF,Waterford,Number,13511
TAA05,Passengers,2016,2016,EICA,Connemara,Number,21345
TAA05,Passengers,2017,2017,EICK,Cork,Number,2301450
TAA05,Passengers,2017,2017,EIDW,Dublin,Number,29454474
TAA05,Passengers,2017,2017,EIKY,Kerry,Number,335480
TAA05,Passengers,2017,2017,EIKN,Knock,Number,748505
TAA05,Passengers,2017,2017,EINN,Shannon,Number,1599390
TAA05,Passengers,2017,2017,EIDL,Donegal,Number,46514
TAA05,Passengers,2017,2017,EIIM,Inishmore,Number,9335
TAA05,Passengers,2017,2017,EIWF,Waterford,Number,
TAA05,Passengers,2017,2017,EICA,Connemara,Number,16437
TAA05,Passengers,2018,2018,EICK,Cork,Number,2387806
TAA05,Passengers,2018,2018,EIDW,Dublin,Number,31319419
TAA05,Passengers,2018,2018,EIKY,Kerry,Number,365339
TAA05,Passengers,2018,2018,EIKN,Knock,Number,775063
TAA05,Passengers,2018,2018,EINN,Shannon,Number,1677661
TAA05,Passengers,2018,2018,EIDL,Donegal,Number,46537
TAA05,Passengers,2018,2018,EIIM,Inishmore,Number,8814
TAA05,Passengers,2018,2018,EIWF,Waterford,Number,
TAA05,Passengers,2018,2018,EICA,Connemara,Number,15322
TAA05,Passengers,2019,2019,EICK,Cork,Number,2585466
TAA05,Passengers,2019,2019,EIDW,Dublin,Number,32676251
TAA05,Passengers,2019,2019,EIKY,Kerry,Number,369836
TAA05,Passengers,2019,2019,EIKN,Knock,Number,805443
TAA05,Passengers,2019,2019,EINN,Shannon,Number,1616422
TAA05,Passengers,2019,2019,EIDL,Donegal,Number,48542
TAA05,Passengers,2019,2019,EIIM,Inishmore,Number,8831
TAA05,Passengers,2019,2019,EIWF,Waterford,Number,
TAA05,Passengers,2019,2019,EICA,Connemara,Number,15382
TAA05,Passengers,2020,2020,EICK,Cork,Number,527014
TAA05,Passengers,2020,2020,EIDW,Dublin,Number,7267240
TAA05,Passengers,2020,2020,EIKY,Kerry,Number,82959
TAA05,Passengers,2020,2020,EIKN,Knock,Number,142532
TAA05,Passengers,2020,2020,EINN,Shannon,Number,273934
TAA05,Passengers,2020,2020,EIDL,Donegal,Number,18067
TAA05,Passengers,2020,2020,EIIM,Inishmore,Number,5020
TAA05,Passengers,2020,2020,EIWF,Waterford,Number,0
TAA05,Passengers,2020,2020,EICA,Connemara,Number,8890
